2022-05-30 10:42:50.917 | INFO     | __main__:<module>:6 - 这是一条info日志
2022-05-30 10:42:50.917 | DEBUG    | __main__:<module>:7 - 这是一条debug日志
2022-05-30 10:42:50.917 | SUCCESS  | __main__:<module>:8 - 这是一条success日志
2022-05-30 10:42:50.918 | ERROR    | __main__:<module>:9 - 这是一条error日志
2022-05-30 10:42:50.918 | WARNING  | __main__:<module>:10 - 这是一条warning日志
2022-05-30T10:45:15.978493+0800 | INFO | d0530 | 这是一条info日志
2022-05-30T10:45:15.978493+0800 | DEBUG | d0530 | 这是一条debug日志
2022-05-30T10:45:15.978493+0800 | SUCCESS | d0530 | 这是一条success日志
2022-05-30T10:45:15.978493+0800 | ERROR | d0530 | 这是一条error日志
2022-05-30T10:45:15.979498+0800 | WARNING | d0530 | 这是一条warning日志
2022-05-30T10:46:47.097691+0800 | INFO | d0530 | 6 | 这是一条info日志
2022-05-30T10:46:47.097691+0800 | DEBUG | d0530 | 7 | 这是一条debug日志
2022-05-30T10:46:47.097691+0800 | SUCCESS | d0530 | 8 | 这是一条success日志
2022-05-30T10:46:47.098688+0800 | ERROR | d0530 | 9 | 这是一条error日志
2022-05-30T10:46:47.098688+0800 | WARNING | d0530 | 10 | 这是一条warning日志
2022-05-30 10:05:71 | INFO | d0530 | 6 | 这是一条info日志
2022-05-30 10:05:71 | DEBUG | d0530 | 7 | 这是一条debug日志
2022-05-30 10:05:71 | SUCCESS | d0530 | 8 | 这是一条success日志
2022-05-30 10:05:71 | ERROR | d0530 | 9 | 这是一条error日志
2022-05-30 10:05:71 | WARNING | d0530 | 10 | 这是一条warning日志
2022-05-30 10:05:35 | INFO | d0530 | 6 | 这是一条info日志
2022-05-30 10:05:35 | DEBUG | d0530 | 7 | 这是一条debug日志
2022-05-30 10:05:35 | SUCCESS | d0530 | 8 | 这是一条success日志
2022-05-30 10:05:35 | ERROR | d0530 | 9 | 这是一条error日志
2022-05-30 10:05:35 | WARNING | d0530 | 10 | 这是一条warning日志
2022-05-30 10:05:35 | INFO | d0530 | 14 | 我的名字叫张三
2022-05-30 10:05:56 | INFO | d0530 | 6 | 这是一条info日志
2022-05-30 10:05:56 | DEBUG | d0530 | 7 | 这是一条debug日志
2022-05-30 10:05:56 | SUCCESS | d0530 | 8 | 这是一条success日志
2022-05-30 10:05:56 | ERROR | d0530 | 9 | 这是一条error日志
2022-05-30 10:05:56 | WARNING | d0530 | 10 | 这是一条warning日志
2022-05-30 10:05:56 | INFO | d0530 | 14 | 我的名字叫张三，今天星期1
